sample_id,cell_id,channel,crop_path,label,confidence,notes,annotated_at,top_genes
1,abhlhdnk-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/abhlhdnk-1.tif,noise,0.8,,2026-08-11T15:45:44,"HLA-DRA, GLIPR1, PECAM1, FCGR3B, MS4A6A"
2,abpimllh-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/abpimllh-1.tif,unclear,0.8,,2026-08-11T15:46:00,"CXCR4, HLA-DRA, MS4A1, PTPRC, LY86"
3,acihpnka-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/acihpnka-1.tif,signal,0.8,,2026-08-11T15:46:03,"HLA-DRA, FCGR3B, HLA-DRB1, CD68, VIM"
4,aehhdbfh-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/aehhdbfh-1.tif,noise,0.8,,2026-08-11T15:46:09,"FOXP3, HLA-DRA, CD79A, CXCR4, VIM"
5,almndddk-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/almndddk-1.tif,noise,0.8,,2026-08-11T15:46:17,"VIM, FCGR3B, CDH16, GZMK, PTEN"
6,amegkekl-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/amegkekl-1.tif,signal,0.8,,2026-08-11T15:46:21,"VIM, HLA-DRA, C1orf162, ACTG2, CXCL6"
7,aobealah-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/aobealah-1.tif,noise,0.8,,2026-08-11T15:46:34,"HLA-DRA, PTGDS, CD3E, C1orf162, CXCR4"
8,bcblmioi-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/bcblmioi-1.tif,signal,0.8,,2026-08-11T15:46:40,"HLA-DRA, CD163, FCGR3B, VSIR, CXCR4"
9,bemkjhon-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/bemkjhon-1.tif,signal,0.8,,2026-08-11T15:46:56,"HLA-DRA, FCGR3A, MS4A6A, HLA-DRB1, VIM"
10,bhffmdme-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/bhffmdme-1.tif,signal,0.8,,2026-08-11T15:47:00,"VIM, MS4A6A, FCGR3A, HLA-DRA, LAG3"
11,bibgchhp-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/bibgchhp-1.tif,noise,0.8,,2026-08-11T15:47:10,"VIM, CD8A, CD68, ACTA2, HLA-DRA"
12,bigahfjd-1,CD11c,/data/yzy21/yy/aaran/out/crops/CD11c/bigahfjd-1.tif,noise,0.8,,2026-08-11T15:47:26,"FOXP3, PTPRC, VIM, IL7R, CD3E"
